,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,basement_exist,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15
30,8562750320,2014-11-10,580500.0,3,2.5,2320,3980,2.0,3,8,2320,0.0,2003,98027,47.5391,-122.07,2580,3980
31,2426039314,2014-12-01,280000.0,2,1.5,1190,1265,3.0,3,7,1190,0.0,2005,98133,47.7274,-122.35700000000001,1390,1756
32,461000390,2014-06-24,687500.0,4,1.75,2330,5000,1.5,4,7,1510,1.0,1929,98117,47.6823,-122.368,1460,5000
33,7589200193,2014-11-10,535000.0,3,1.0,1090,3000,1.5,4,8,1090,0.0,1929,98117,47.6889,-122.375,1570,5080
34,7955080270,2014-12-03,322500.0,4,2.75,2060,6659,1.0,3,7,1280,1.0,1981,98058,47.4276,-122.15700000000001,2020,8720
37,2768000400,2014-12-30,640000.0,4,2.0,2360,6000,2.0,4,8,2360,0.0,1904,98107,47.6702,-122.36200000000001,1730,4700
38,7895500070,2015-02-13,240000.0,4,1.0,1220,8075,1.0,2,7,890,1.0,1969,98001,47.3341,-122.28200000000001,1290,7800
39,2078500320,2014-06-20,605000.0,4,2.5,2620,7553,2.0,3,8,2620,0.0,1996,98056,47.5301,-122.18,2620,11884
43,9270200160,2014-10-28,685000.0,3,1.0,1570,2280,2.0,3,7,1570,0.0,1922,98119,47.6413,-122.36399999999999,1580,2640
44,1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,4,6,920,1.0,1959,98058,47.4485,-122.175,1340,8808
46,8945200830,2015-03-25,210490.0,3,1.0,990,8528,1.0,3,6,990,0.0,1966,98023,47.3066,-122.37100000000001,1228,8840
47,4178300310,2014-07-16,785000.0,4,2.5,2290,13416,2.0,4,9,2290,0.0,1981,98007,47.6194,-122.15100000000001,2680,13685
48,9215400105,2015-04-28,450000.0,3,1.75,1250,5963,1.0,4,7,1250,0.0,1953,98115,47.6796,-122.301,970,5100
50,5245600105,2014-09-16,228000.0,3,1.0,1190,9199,1.0,3,7,1190,0.0,1955,98148,47.4258,-122.322,1190,9364
51,7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,4,8,1640,1.0,1966,98056,47.4934,-122.189,1990,9133
53,3626039271,2015-02-05,585000.0,2,1.75,1980,8550,1.0,3,7,990,1.0,1981,98117,47.6989,-122.369,1480,6738
54,4217401195,2015-03-03,920000.0,5,2.25,2730,6000,1.5,3,8,2130,1.0,1927,98105,47.6571,-122.281,2730,6000
57,2799800710,2015-04-07,301000.0,3,2.5,2420,4750,2.0,3,8,2420,0.0,2003,98042,47.3663,-122.12200000000001,2690,4750
59,8079040320,2015-02-23,430000.0,4,3.0,1850,9976,2.0,3,8,1850,0.0,1991,98059,47.5059,-122.149,2270,8542
61,9558200045,2014-08-28,289000.0,3,1.75,1260,8400,1.0,3,7,1260,0.0,1954,98148,47.4366,-122.335,1290,8750
63,9528102996,2014-12-07,549000.0,3,1.75,1540,1044,3.0,3,8,1540,0.0,2014,98115,47.6765,-122.32,1580,3090
64,1189001180,2014-06-03,425000.0,3,2.25,1660,6000,1.0,3,7,1110,1.0,1979,98122,47.6113,-122.29700000000001,1440,4080
65,3253500160,2014-11-20,317625.0,3,2.75,2770,3809,1.5,5,7,1770,1.0,1925,98144,47.5747,-122.304,1440,4000
67,3717000160,2014-10-09,287000.0,4,2.5,2240,4648,2.0,3,7,2240,0.0,2005,98001,47.3378,-122.257,2221,4557
71,1049000060,2015-01-05,325000.0,3,2.0,1260,5612,1.0,4,7,1260,0.0,1972,98034,47.7362,-122.179,1640,4745
72,8820901275,2014-06-10,571000.0,4,2.0,2750,7807,1.5,5,7,2250,1.0,1916,98125,47.7168,-122.287,1510,7807
78,6300000287,2014-06-09,410000.0,3,1.0,1410,5060,1.0,4,7,910,1.0,1956,98133,47.7073,-122.34,1130,5693
80,5104520400,2014-12-02,390000.0,3,2.5,2350,5100,2.0,3,8,2350,0.0,2003,98038,47.3512,-122.008,2350,5363
81,7437100340,2014-12-22,360000.0,4,2.5,1900,5889,2.0,3,7,1900,0.0,1992,98038,47.349,-122.031,1870,6405
82,9418400240,2014-10-28,355000.0,2,1.0,2020,6720,1.0,3,7,1010,1.0,1948,98118,47.5474,-122.291,1720,6720
83,1523059105,2015-01-28,356000.0,3,1.5,1680,8712,1.0,3,8,1680,0.0,1964,98059,47.4811,-122.149,1850,8797
84,1133000671,2014-06-02,315000.0,3,1.0,960,6634,1.0,3,6,960,0.0,1952,98125,47.7264,-122.31,1570,7203
85,4232902595,2014-11-14,940000.0,3,1.5,2140,3600,2.0,3,9,1900,1.0,1925,98119,47.6337,-122.365,2020,4800
86,2599001200,2014-11-03,305000.0,5,2.25,2660,8400,1.5,5,7,2660,0.0,1961,98092,47.2909,-122.189,1590,8165
90,2791500270,2014-05-22,243500.0,4,2.5,1980,7403,2.0,3,7,1980,0.0,1988,98023,47.2897,-122.37200000000001,1980,7510
92,4168000060,2015-02-26,153000.0,3,1.0,1200,10500,1.0,3,7,1200,0.0,1962,98023,47.321999999999996,-122.351,1350,10500
94,6021501535,2014-12-23,700000.0,3,1.5,1580,5000,1.0,3,8,1290,1.0,1939,98117,47.687,-122.38600000000001,1570,4500
97,1099611230,2014-09-12,199000.0,4,1.5,1160,6400,1.0,4,7,1160,0.0,1975,98023,47.3036,-122.37799999999999,1160,6400
100,1952200240,2014-06-11,850830.0,3,2.5,2070,13241,1.5,5,9,1270,1.0,1910,98102,47.6415,-122.315,2200,4500
101,5200100125,2014-10-27,555000.0,3,2.0,1980,3478,1.5,4,7,1440,1.0,1929,98117,47.6775,-122.37200000000001,1610,3478
106,546000875,2014-05-23,460000.0,3,1.0,1670,4005,1.5,4,7,1170,1.0,1939,98117,47.6878,-122.38,1240,4005
107,3530510041,2014-07-23,188500.0,2,1.75,1240,2493,1.0,4,8,1240,0.0,1985,98198,47.3813,-122.322,1270,4966
109,3134100116,2014-08-27,470000.0,5,1.75,2030,12342,2.0,4,7,2030,0.0,1942,98052,47.6417,-122.109,2500,9433
111,3362400511,2015-03-04,570000.0,3,1.75,1260,3328,1.0,5,6,700,1.0,1905,98103,47.6823,-122.34899999999999,1380,3536
116,3362400431,2014-06-26,518500.0,3,3.5,1590,1102,3.0,3,8,1590,0.0,2010,98103,47.6824,-122.34700000000001,1620,3166
117,4060000240,2014-06-23,205425.0,2,1.0,880,6780,1.0,4,6,880,0.0,1945,98178,47.5009,-122.24799999999999,1190,6780
119,1695900060,2015-05-11,535000.0,4,1.0,1610,2982,1.5,4,7,1610,0.0,1925,98144,47.586999999999996,-122.294,1610,4040
122,3626039187,2015-04-06,395000.0,2,1.0,770,6000,1.0,3,6,770,0.0,1953,98117,47.6999,-122.36399999999999,1710,6000
124,3275860240,2014-06-18,770000.0,3,2.25,2910,10204,2.0,3,9,2910,0.0,1990,98052,47.6897,-122.098,2700,13992
130,3668000070,2015-01-05,212000.0,3,1.75,1060,7875,1.0,4,7,1060,0.0,1986,98092,47.2761,-122.152,1420,7680
131,9545240070,2015-04-28,660500.0,4,2.25,2010,9603,1.0,3,8,1440,1.0,1986,98027,47.5343,-122.054,2060,9793
133,8929000270,2014-05-12,453246.0,3,2.5,2010,2287,2.0,3,8,1390,1.0,2014,98029,47.5517,-121.99799999999999,1690,1662
134,2767602356,2015-01-26,675000.0,4,3.5,2140,2278,3.0,3,9,2140,0.0,2005,98107,47.6734,-122.38,1540,2285
136,3655000070,2014-08-05,220000.0,4,1.75,2020,7840,1.0,3,7,1010,1.0,1968,98003,47.3309,-122.29899999999999,1750,8140
138,3992700335,2014-07-07,382500.0,2,1.0,1190,4440,1.0,3,6,1190,0.0,1981,98125,47.7135,-122.287,1060,5715
140,4232901525,2014-06-27,665000.0,2,1.0,1110,3200,1.0,3,7,1110,0.0,1925,98119,47.6338,-122.35799999999999,1170,3600
142,1432900240,2015-05-08,205000.0,3,1.0,1610,8579,1.0,4,7,1010,1.0,1962,98058,47.4563,-122.171,1610,8579
144,6071600370,2015-02-27,500000.0,4,2.25,2030,8517,1.0,4,8,1380,1.0,1961,98006,47.5495,-122.17399999999999,2230,8824
146,809001525,2014-06-25,890000.0,4,1.0,2550,4000,2.0,3,8,2370,1.0,1905,98109,47.6354,-122.353,2200,4000
149,1994200024,2014-11-04,511000.0,3,1.0,1430,3455,1.0,3,7,980,1.0,1947,98103,47.6873,-122.336,1450,4599
150,3362900810,2014-08-20,532170.0,3,2.0,1360,3090,2.0,3,8,1360,0.0,1990,98103,47.6838,-122.353,1500,3090
151,1324300398,2015-04-09,560000.0,3,1.0,1110,5000,1.5,3,7,1110,0.0,1947,98107,47.655,-122.359,1420,5000
155,8960000030,2014-07-28,215000.0,3,1.0,1180,7669,1.0,4,7,1180,0.0,1967,98058,47.4479,-122.176,1190,7669
157,8731900200,2014-08-07,320000.0,4,2.75,2640,7500,1.0,3,8,1620,1.0,1967,98023,47.3135,-122.369,1980,7875
159,1081200350,2014-10-03,320000.0,4,1.75,1760,11180,1.0,4,8,1760,0.0,1968,98059,47.4715,-122.118,1730,11180
160,84000105,2014-05-07,255000.0,5,2.25,2060,8632,1.0,3,7,1030,1.0,1962,98146,47.4877,-122.335,1010,11680
161,3756500060,2015-03-09,438000.0,3,1.75,1780,9660,1.0,3,7,1780,0.0,1962,98034,47.7171,-122.193,1200,9660
163,3574800520,2014-06-20,441000.0,3,2.75,1910,7280,1.0,3,7,1160,1.0,1979,98034,47.7319,-122.22399999999999,1710,8152
165,2558660270,2014-12-08,370000.0,3,1.75,1580,7000,1.0,3,7,1180,1.0,1976,98034,47.7209,-122.16799999999999,1640,7500
167,1836980160,2015-03-24,807100.0,4,2.5,2680,4499,2.0,3,9,2680,0.0,1999,98006,47.565,-122.125,2920,4500
168,3261020370,2014-06-05,653000.0,3,2.5,2680,9750,1.0,4,8,1610,1.0,1979,98034,47.7028,-122.23100000000001,2480,8750
174,1687900520,2014-09-29,673000.0,4,2.25,2590,8190,2.0,4,8,2590,0.0,1980,98006,47.5619,-122.125,2260,8335
175,7234600798,2015-02-10,425000.0,3,2.5,1120,1100,2.0,3,8,820,1.0,2008,98122,47.6106,-122.31,1590,1795
176,3881900445,2014-07-09,399950.0,5,2.75,1970,5400,1.0,3,7,1320,1.0,1986,98144,47.5868,-122.30799999999999,1280,2150
180,3830630310,2014-07-25,260000.0,3,2.5,1670,5797,2.0,3,7,1670,0.0,1988,98030,47.3505,-122.179,1670,6183
181,8123100045,2015-04-14,470000.0,4,3.0,2380,5125,1.5,4,7,1680,1.0,1925,98126,47.5384,-122.376,1410,5375
183,6661200320,2014-07-23,163500.0,2,1.5,1050,3419,2.0,3,7,1050,0.0,1996,98038,47.3848,-122.039,1050,3417
184,11510310,2014-09-05,835000.0,4,2.75,3130,13412,2.0,3,9,2140,1.0,1993,98052,47.6993,-122.102,2260,9984
186,8731951370,2015-04-15,269000.0,4,1.75,1490,10000,1.0,4,8,1100,1.0,1969,98023,47.3099,-122.37899999999999,2190,8910
189,1115810060,2014-12-05,585188.0,3,2.25,2230,10026,1.0,3,8,1430,1.0,1975,98052,47.6647,-122.15299999999999,2230,9340
191,1432600560,2014-11-05,166950.0,3,1.0,1190,8820,1.0,3,6,1190,0.0,1959,98058,47.4616,-122.184,1230,7980
192,2287000060,2014-09-12,799000.0,3,2.5,2140,9897,1.0,4,8,2140,0.0,1959,98040,47.5505,-122.219,2680,10083
193,3663500060,2014-06-25,400000.0,3,2.5,2180,7508,1.0,4,7,1420,1.0,1962,98133,47.7606,-122.336,1900,7818
194,3996900125,2014-12-01,230000.0,3,1.0,1060,10228,1.0,3,7,1060,0.0,1948,98155,47.7481,-122.3,1570,10228
195,7796450200,2014-05-15,256883.0,3,2.5,1690,5025,2.0,3,8,1690,0.0,2003,98023,47.2779,-122.34700000000001,2550,5001
196,7549802535,2014-11-11,423000.0,4,2.0,1970,6480,1.5,5,7,1130,1.0,1920,98108,47.5511,-122.31200000000001,1500,6480
201,2222059065,2014-11-12,297000.0,3,2.5,1940,14952,2.0,3,8,1940,0.0,1994,98042,47.3777,-122.165,2030,10450
202,7551300060,2014-07-16,470000.0,3,1.0,1010,5000,1.0,3,7,1010,0.0,1952,98107,47.675,-122.39399999999999,1680,5000
203,100600550,2014-08-04,226500.0,3,1.5,1300,7370,1.0,4,7,900,1.0,1976,98023,47.3025,-122.37,1430,7500
204,3211100860,2015-03-03,274250.0,3,1.0,910,8450,1.0,4,6,910,0.0,1962,98059,47.4787,-122.15799999999999,1400,8040
206,9526600140,2014-09-19,677900.0,3,2.5,2440,4587,2.0,3,8,2440,0.0,2010,98052,47.7073,-122.11399999999999,2750,4587
208,1222000055,2014-11-23,180250.0,2,0.75,900,9600,1.0,3,6,900,0.0,1941,98166,47.4604,-122.339,1250,14280
211,1025049114,2014-07-17,625504.0,3,2.25,1270,1566,2.0,3,8,1060,1.0,2014,98105,47.6647,-122.28399999999999,1160,1327
212,8677300550,2014-05-15,592500.0,4,2.5,2240,12032,1.0,3,9,2240,0.0,1983,98074,47.6143,-122.01700000000001,2520,12368
214,1102000196,2014-05-27,477000.0,4,2.75,1720,6270,2.0,3,8,1720,0.0,1978,98118,47.5458,-122.26799999999999,2130,8700
215,257000138,2015-01-15,280000.0,2,1.0,850,16400,1.0,3,6,850,0.0,1923,98168,47.4889,-122.29899999999999,1100,14459
219,7611200125,2014-10-23,467000.0,2,1.5,1320,10800,1.0,4,8,1320,0.0,1947,98177,47.7145,-122.367,2120,12040
221,7138000260,2014-06-05,279950.0,3,2.0,1750,9750,1.0,3,7,1350,1.0,1961,98198,47.398,-122.29899999999999,1900,10125
223,1922059282,2014-09-18,325000.0,3,2.25,2220,16020,1.0,4,8,1780,1.0,1966,98030,47.3758,-122.21700000000001,2080,9583
224,705700390,2014-09-03,328000.0,3,2.25,2020,8379,2.0,3,7,2020,0.0,1994,98038,47.3828,-122.023,2020,8031
228,722059070,2015-01-15,235000.0,3,1.0,1430,15246,1.0,4,7,980,1.0,1961,98031,47.4075,-122.214,1960,13068
229,7202340400,2015-03-03,516500.0,3,2.5,1480,4729,2.0,3,7,1480,0.0,2004,98053,47.6794,-122.03399999999999,2250,4729
233,943100260,2014-11-20,213000.0,2,1.0,1000,10200,1.0,3,6,1000,0.0,1961,98024,47.5687,-121.899,1150,13702
240,3584000310,2014-12-08,225000.0,3,1.75,1430,8505,1.0,4,7,1430,0.0,1968,98003,47.3173,-122.319,1190,8640
241,8150100045,2014-10-01,210000.0,2,1.0,830,6000,1.0,3,6,830,0.0,1940,98126,47.5308,-122.376,830,4960
242,1868901275,2015-01-27,455000.0,2,1.0,1430,5000,1.5,2,7,1430,0.0,1925,98115,47.6727,-122.29899999999999,1450,3750
243,6131600075,2015-04-27,225000.0,3,1.0,1300,8316,1.0,4,6,1300,0.0,1954,98002,47.3221,-122.21600000000001,1260,8316
245,8029510030,2015-02-12,363000.0,3,2.5,2740,11872,2.0,3,9,2740,0.0,1990,98023,47.3076,-122.395,2570,10377
247,7899800890,2015-02-26,181000.0,2,1.5,720,5120,1.0,3,6,720,0.0,1954,98106,47.5218,-122.35700000000001,1150,2566
249,3797001895,2015-04-22,481000.0,3,1.75,1560,3000,1.0,4,6,770,1.0,1918,98103,47.6846,-122.345,1390,3000
250,3832710960,2014-09-23,260000.0,3,2.0,1810,7209,1.0,4,7,1240,1.0,1978,98032,47.3656,-122.27799999999999,1750,7209
253,1105000588,2015-04-21,349500.0,3,1.0,1400,3538,1.0,3,7,800,1.0,1953,98118,47.5405,-122.27,1620,6331
254,3830630060,2014-09-29,245000.0,3,2.5,1730,7442,2.0,3,7,1730,0.0,1987,98030,47.3507,-122.178,1630,6458
256,7972601890,2014-10-20,385000.0,4,1.75,2360,7620,1.0,4,7,1180,1.0,1955,98106,47.5278,-122.345,1910,7620
257,5127001620,2015-02-11,315000.0,3,1.75,1580,11455,1.0,4,7,1200,1.0,1974,98059,47.4756,-122.147,1550,10650
261,8644000060,2014-10-24,237000.0,3,1.75,1270,8470,1.0,4,7,1270,0.0,1960,98198,47.4207,-122.29,1600,8470
265,8078560140,2014-05-19,290000.0,4,2.5,1700,7280,2.0,4,7,1700,0.0,1988,98031,47.4045,-122.171,1950,7475
266,3438500192,2014-09-29,285000.0,3,1.0,1120,10701,1.0,3,7,1120,0.0,1954,98106,47.5544,-122.35799999999999,1130,6350
267,7974200510,2014-08-14,415000.0,2,1.0,1070,4500,1.0,3,7,1070,0.0,1937,98115,47.6802,-122.29,1320,4465
268,2557000400,2015-04-09,272500.0,3,2.5,2070,9900,1.0,3,8,1420,1.0,1979,98023,47.2988,-122.37100000000001,2070,8250
272,1745100140,2014-10-17,210000.0,3,1.0,1700,11390,1.0,4,7,1700,0.0,1967,98003,47.3271,-122.323,1350,8164
275,4215100060,2015-03-20,365000.0,3,2.5,2653,4510,2.0,3,8,2653,0.0,2006,98031,47.4145,-122.166,2653,4927
279,9412900055,2015-05-05,405000.0,3,1.75,2390,6000,1.0,3,6,1240,1.0,1908,98118,47.5362,-122.26799999999999,2020,6000
281,6874200960,2015-02-27,170000.0,2,1.0,860,5265,1.0,3,6,860,0.0,1931,98178,47.5048,-122.272,1650,8775
284,5634500392,2015-04-10,330000.0,3,3.0,2420,13959,1.0,4,8,1740,1.0,1988,98028,47.7486,-122.23,2570,13300
285,1509500060,2014-09-05,370000.0,4,2.5,2720,8666,2.0,3,9,2720,0.0,1992,98030,47.3846,-122.169,2410,8100
286,7214810350,2014-10-17,467000.0,5,2.25,2500,13500,1.0,3,7,1850,1.0,1979,98072,47.7564,-122.14399999999999,2300,9750
288,9552700140,2014-07-02,675000.0,5,2.25,2900,10300,1.0,3,8,1450,1.0,1985,98006,47.5461,-122.15100000000001,2310,10300
289,2200500350,2014-08-12,500000.0,2,1.0,1640,14100,1.0,4,7,1140,1.0,1954,98006,47.5712,-122.14299999999999,1520,13527
292,1115450240,2014-10-22,360000.0,4,2.5,2160,9528,2.0,3,9,2160,0.0,1992,98001,47.3341,-122.255,2280,9937
293,6073240060,2014-10-02,580000.0,4,3.0,3280,11060,2.0,3,8,2270,1.0,1986,98056,47.5399,-122.181,2320,11004
298,600000152,2014-06-02,404000.0,3,1.5,2030,8880,1.0,3,7,1330,1.0,1963,98108,47.5586,-122.311,2140,5592
301,3260800030,2014-08-11,335000.0,3,2.5,2440,7632,2.0,3,8,2440,0.0,1998,98003,47.3494,-122.301,2510,7903
303,5104530560,2015-04-01,208633.0,3,2.5,2040,3810,2.0,3,8,2040,0.0,2006,98038,47.3537,-122.0,2370,4590
304,4330600350,2015-01-15,315000.0,3,2.25,2200,8750,1.0,4,7,1120,1.0,1964,98166,47.476000000000006,-122.337,1460,10139
305,5016001535,2015-02-17,725000.0,3,1.75,1920,3300,1.0,4,8,960,1.0,1913,98112,47.6239,-122.29799999999999,1740,4000
306,7280300196,2015-04-03,550000.0,4,2.75,1800,7750,1.0,4,8,1400,1.0,1965,98177,47.7776,-122.384,1800,8275
308,7171200445,2015-02-28,550700.0,2,1.0,1010,5000,1.5,4,6,1010,0.0,1908,98105,47.6692,-122.29700000000001,1460,5000
315,1328320800,2014-11-05,305000.0,4,2.25,1950,7700,1.0,3,8,1350,1.0,1979,98058,47.4441,-122.125,2150,7350
316,7771300125,2015-04-08,487000.0,3,2.0,2590,14052,1.0,5,8,1720,1.0,1948,98133,47.7357,-122.333,1570,8162
319,4337000335,2014-11-22,268750.0,4,1.0,800,8775,1.0,3,6,800,0.0,1943,98166,47.48,-122.336,1310,8775
322,3353400435,2014-07-21,230000.0,3,2.0,1450,11204,1.0,3,7,1450,0.0,2003,98001,47.2639,-122.25200000000001,1520,9518
323,7972000240,2015-02-02,240000.0,3,1.75,1510,10248,1.0,3,7,1510,0.0,1969,98023,47.2929,-122.37100000000001,1510,9753
328,1665400045,2015-04-28,186375.0,3,1.0,1000,7636,1.0,2,7,1000,0.0,1952,98166,47.472,-122.344,1150,7600
329,9542850320,2014-07-25,790000.0,3,2.25,2370,10289,1.0,4,9,1590,1.0,1977,98005,47.592,-122.166,2500,10004
333,9550201550,2015-04-08,640000.0,2,1.0,1070,5000,1.0,3,7,1070,0.0,1924,98103,47.6666,-122.331,1710,5000
335,5009600070,2014-10-07,260000.0,4,2.5,1960,5238,2.0,3,7,1960,0.0,2003,98038,47.3483,-122.052,1800,5894
337,2877103726,2014-07-22,791500.0,4,2.0,1510,3500,1.5,5,7,1510,0.0,1911,98103,47.6794,-122.35700000000001,1820,3750
342,6414100671,2014-09-09,425000.0,3,1.75,2500,6840,1.0,3,8,1300,1.0,1957,98125,47.7222,-122.32,1580,8691
348,808000070,2014-10-21,206600.0,3,2.0,1390,13464,1.0,4,7,1390,0.0,1987,98030,47.3581,-122.17299999999999,1720,12080
349,7374200030,2015-04-16,387000.0,4,1.75,2500,7690,1.0,3,7,1250,1.0,1973,98155,47.7713,-122.307,2040,8646
351,2757000030,2014-09-22,855000.0,4,2.75,2270,10460,2.0,3,9,2270,0.0,1965,98040,47.5603,-122.22200000000001,2610,10180
352,616000140,2015-01-26,315000.0,3,1.0,1900,14400,1.0,4,7,1300,1.0,1954,98166,47.4147,-122.337,1940,14400
355,6607000126,2014-06-04,375000.0,4,1.75,2200,7475,1.0,5,7,1100,1.0,1955,98118,47.543,-122.28,1600,5766
356,5416510830,2014-08-06,300000.0,4,2.5,1910,4862,2.0,3,7,1910,0.0,2005,98038,47.3607,-122.03399999999999,2010,5091
361,1072010350,2014-08-28,380000.0,5,2.5,2760,11340,2.0,4,9,2760,0.0,1978,98059,47.4769,-122.141,2470,11340
362,8856950070,2014-12-10,329500.0,4,2.5,1820,7912,2.0,3,7,1820,0.0,1994,98038,47.3845,-122.029,1820,8168
369,3291800710,2014-11-20,338000.0,4,3.0,2090,7500,1.0,3,7,1370,1.0,1986,98056,47.4888,-122.182,1810,7650
370,6838700060,2014-12-04,280000.0,3,2.25,1430,7222,2.0,3,7,1430,0.0,1993,98056,47.5112,-122.19,1430,7220
372,2231500030,2015-03-24,530000.0,4,2.25,2180,10754,1.0,5,7,1100,1.0,1954,98133,47.7711,-122.34100000000001,1810,6929
374,8155830060,2014-08-11,297000.0,3,2.25,1450,7562,2.0,3,7,1450,0.0,1994,98056,47.5038,-122.189,1650,7625
377,1545804860,2014-10-27,275000.0,3,3.0,1590,7750,1.0,3,7,1060,1.0,1997,98038,47.3624,-122.045,1680,7500
383,8563040160,2015-01-21,560000.0,4,2.25,2550,7800,1.0,3,8,1580,1.0,1968,98052,47.6283,-122.095,2420,8050
385,8651600160,2014-11-11,799000.0,4,2.25,2510,11585,2.0,4,8,2510,0.0,1969,98040,47.5483,-122.226,2450,9691
386,9517200030,2014-06-25,365500.0,3,2.0,1410,9600,1.0,4,7,1410,0.0,1983,98072,47.7591,-122.146,1410,9600
387,2460700700,2014-05-15,252350.0,3,2.0,1650,7352,1.0,3,7,1160,1.0,1979,98058,47.4612,-122.169,1710,7350
388,1223039290,2014-09-05,403950.0,4,2.5,2120,13780,2.0,3,8,2120,0.0,1993,98146,47.4987,-122.365,1880,12000
390,7972600860,2014-12-10,345000.0,4,1.0,1550,7620,1.5,3,7,1550,0.0,1957,98106,47.5287,-122.35,1450,7620
391,8857320070,2014-09-17,490000.0,3,2.75,1980,3128,2.0,4,9,1980,0.0,1979,98008,47.6109,-122.11399999999999,1950,2856
395,3649100320,2015-04-30,330000.0,2,1.0,1220,10000,1.0,5,7,1220,0.0,1950,98028,47.7405,-122.241,2000,9600
396,7375300160,2015-03-09,530000.0,5,2.25,2720,8800,1.0,4,7,1500,1.0,1958,98008,47.5976,-122.118,2110,8800
399,2473251090,2014-06-19,269900.0,4,1.75,1530,8750,1.5,4,7,1530,0.0,1968,98058,47.4556,-122.15700000000001,1390,8750
400,9126100861,2015-03-06,557000.0,3,3.5,1710,2096,2.0,3,8,1290,1.0,2008,98122,47.6055,-122.305,1630,1543
402,6021501685,2015-04-22,352000.0,2,1.0,940,5000,1.0,4,7,940,0.0,1937,98117,47.6879,-122.385,1560,4500
404,8856950240,2014-06-18,322500.0,4,2.5,1820,6753,2.0,3,7,1820,0.0,1994,98038,47.3845,-122.03200000000001,1820,7107
406,7821200390,2014-08-06,450000.0,3,2.0,1290,1213,3.0,3,8,1290,0.0,2001,98103,47.6609,-122.344,1290,3235
407,8078520310,2015-04-17,278500.0,3,2.0,1570,5250,1.0,3,7,1570,0.0,1998,98092,47.3163,-122.18799999999999,1570,5250
408,1565950030,2015-04-27,364950.0,4,2.5,1930,6957,2.0,3,8,1930,0.0,1995,98055,47.4309,-122.191,2090,6996
410,6700400140,2015-03-18,268000.0,3,2.5,1550,8134,2.0,3,7,1550,0.0,1991,98031,47.403999999999996,-122.191,1550,8134
413,1525200060,2014-07-23,577500.0,3,2.5,2000,7251,2.0,3,9,2000,0.0,1995,98034,47.7067,-122.2,2450,8118
417,2697100140,2015-01-05,423000.0,4,2.25,2200,9351,1.0,5,7,1290,1.0,1962,98133,47.7448,-122.333,1910,8660
420,625049299,2014-12-03,482000.0,2,1.0,950,3960,1.0,3,7,950,0.0,1941,98103,47.6885,-122.337,1320,4050
421,6073200075,2014-07-30,625000.0,3,1.75,1600,9135,1.0,5,7,1600,0.0,1955,98006,47.5724,-122.179,1580,9800
422,6388900710,2014-12-19,538000.0,3,2.5,2250,11632,2.0,3,8,2250,0.0,1988,98056,47.5272,-122.169,2360,11632
